provinsi,kabupaten,kode_wilayah,name,se_formation,sk_formation,si_formation,sd_formation,d3_formation,ks_formation,st_formation
BPS Pusat,BPS Pusat,0,BPS Pusat,0,0,0,0,0,10,10
K/L/Pemda,K/L/Pemda,0,K/L/Pemda,0,0,0,0,0,7,16
Aceh,Aceh,11,BPS Provinsi Aceh,0,0,0,0,0,0,0
Aceh,Aceh Singkil,1102,Aceh Singkil,0,0,0,0,0,0,1
Aceh,Aceh Selatan,1103,Aceh Selatan,0,0,0,0,0,0,1
Aceh,Aceh Tenggara,1104,Aceh Tenggara,0,0,0,0,0,0,1
Aceh,Aceh Timur,1105,Aceh Timur,0,0,0,0,0,0,1
Aceh,Aceh Barat,1107,Aceh Barat,0,0,0,0,0,1,0
Aceh,Bireuen,1110,Bireuen,0,0,0,0,0,0,1
Aceh,Aceh Utara,1111,Aceh Utara,0,0,0,0,0,1,1
Aceh,Aceh Barat Daya,1112,Aceh Barat Daya,0,0,0,0,0,1,1
Aceh,Gayo Lues,1113,Gayo Lues,0,0,0,0,0,0,1
Aceh,Aceh Tamiang,1114,Aceh Tamiang,0,0,0,0,0,0,2
Aceh,Nagan Raya,1115,Nagan Raya,0,0,0,0,0,1,1
Aceh,Aceh Jaya,1116,Aceh Jaya,0,0,0,0,0,1,1
Aceh,Pidie Jaya,1118,Pidie Jaya,0,0,0,0,0,0,2
Aceh,Sabang,1172,Sabang,0,0,0,0,0,0,1
Aceh,Lhokseumawe,1174,Lhokseumawe,0,0,0,0,0,0,1
Aceh,Subulussalam,1175,Subulussalam,0,0,0,0,0,0,2
Sumatera Utara,Sumatera Utara,12,BPS Provinsi Sumatera Utara,0,0,0,0,0,0,0
Sumatera Utara,Kabupaten Nias,1201,BPS Kabupaten Nias,0,0,0,0,0,2,0
Sumatera Utara,Kabupaten Mandailing Natal,1202,BPS Kabupaten Mandailing Natal,0,0,0,0,0,0,2
Sumatera Utara,Kabupaten Tapanuli Selatan,1203,BPS Kabupaten Tapanuli Selatan,0,0,0,0,0,0,2
Sumatera Utara,Kabupaten Tapanuli Tengah,1204,BPS Kabupaten Tapanuli Tengah,0,0,0,0,0,0,1
Sumatera Utara,Kabupaten Dairi,1210,BPS Kabupaten Dairi,0,0,0,0,0,0,1
Sumatera Utara,Kabupaten Nias Selatan,1214,BPS Kabupaten Nias Selatan,0,0,0,0,0,2,0
Sumatera Utara,Kabupaten Humbang Hasundutan,1215,BPS Kabupaten Humbang Hasundutan,0,0,0,0,0,0,2
Sumatera Utara,Kabupaten Pakpak Bharat,1216,BPS Kabupaten Pakpak Bharat,0,0,0,0,0,0,2
Sumatera Utara,Kabupaten Samosir,1217,BPS Kabupaten Samosir,0,0,0,0,0,1,0
Sumatera Utara,Kabupaten Padang Lawas Utara,1220,BPS Kabupaten Padang Lawas Utara,0,0,0,0,0,0,2
Sumatera Utara,Kabupaten Padang Lawas,1221,BPS Kabupaten Padang Lawas,0,0,0,0,0,0,2
Sumatera Utara,Kabupaten Labuhan Batu Selatan,1222,BPS Kabupaten Labuhan Batu Selatan,0,0,0,0,0,1,0
Sumatera Utara,Kabupaten Nias Utara,1224,BPS Kabupaten Nias Utara,0,0,0,0,0,0,3
Sumatera Utara,Kota Sibolga,1271,BPS Kota Sibolga,0,0,0,0,0,0,2
Sumatera Utara,Kota Padangsidimpuan,1277,BPS Kota Padangsidimpuan,0,0,0,0,0,0,1
Sumatera Utara,Kota Gunungsitoli,1278,BPS Kota Gunungsitoli,0,0,0,0,0,1,0
