id_prov,id_kab,kab,prov
11,1101,KABUPATEN SIMEULUE,ACEH
11,1102,KABUPATEN ACEH SINGKIL,ACEH
11,1103,KABUPATEN ACEH SELATAN,ACEH
11,1104,KABUPATEN ACEH TENGGARA,ACEH
11,1105,KABUPATEN ACEH TIMUR,ACEH
11,1106,KABUPATEN ACEH TENGAH,ACEH
11,1107,KABUPATEN ACEH BARAT,ACEH
11,1108,KABUPATEN ACEH BESAR,ACEH
11,1109,KABUPATEN PIDIE,ACEH
11,1110,KABUPATEN BIREUEN,ACEH
11,1111,KABUPATEN ACEH UTARA,ACEH
11,1112,KABUPATEN ACEH BARAT DAYA,ACEH
11,1113,KABUPATEN GAYO LUES,ACEH
11,1114,KABUPATEN ACEH TAMIANG,ACEH
11,1115,KABUPATEN NAGAN RAYA,ACEH
11,1116,KABUPATEN ACEH JAYA,ACEH
11,1117,KABUPATEN BENER MERIAH,ACEH
11,1118,KABUPATEN PIDIE JAYA,ACEH
11,1171,KOTA BANDA ACEH,ACEH
11,1172,KOTA SABANG,ACEH
11,1173,KOTA LANGSA,ACEH
11,1174,KOTA LHOKSEUMAWE,ACEH
11,1175,KOTA SUBULUSSALAM,ACEH
12,1201,KABUPATEN NIAS,SUMATERA UTARA
12,1202,KABUPATEN MANDAILING NATAL,SUMATERA UTARA
12,1203,KABUPATEN TAPANULI SELATAN,SUMATERA UTARA
12,1204,KABUPATEN TAPANULI TENGAH,SUMATERA UTARA
12,1205,KABUPATEN TAPANULI UTARA,SUMATERA UTARA
12,1206,KABUPATEN TOBA SAMOSIR,SUMATERA UTARA
12,1207,KABUPATEN LABUHAN BATU,SUMATERA UTARA
12,1208,KABUPATEN ASAHAN,SUMATERA UTARA
12,1209,KABUPATEN SIMALUNGUN,SUMATERA UTARA
12,1210,KABUPATEN DAIRI,SUMATERA UTARA
12,1211,KABUPATEN KARO,SUMATERA UTARA
12,1212,KABUPATEN DELI SERDANG,SUMATERA UTARA
12,1213,KABUPATEN LANGKAT,SUMATERA UTARA
12,1214,KABUPATEN NIAS SELATAN,SUMATERA UTARA
12,1215,KABUPATEN HUMBANG HASUNDUTAN,SUMATERA UTARA
12,1216,KABUPATEN PAKPAK BHARAT,SUMATERA UTARA
12,1217,KABUPATEN SAMOSIR,SUMATERA UTARA
12,1218,KABUPATEN SERDANG BEDAGAI,SUMATERA UTARA
12,1219,KABUPATEN BATU BARA,SUMATERA UTARA
12,1220,KABUPATEN PADANG LAWAS UTARA,SUMATERA UTARA
12,1221,KABUPATEN PADANG LAWAS,SUMATERA UTARA
12,1222,KABUPATEN LABUHAN BATU SELATAN,SUMATERA UTARA
12,1223,KABUPATEN LABUHAN BATU UTARA,SUMATERA UTARA
12,1224,KABUPATEN NIAS UTARA,SUMATERA UTARA
12,1225,KABUPATEN NIAS BARAT,SUMATERA UTARA
12,1271,KOTA SIBOLGA,SUMATERA UTARA
12,1272,KOTA TANJUNG BALAI,SUMATERA UTARA
12,1273,KOTA PEMATANG SIANTAR,SUMATERA UTARA
12,1274,KOTA TEBING TINGGI,SUMATERA UTARA
12,1275,KOTA MEDAN,SUMATERA UTARA
12,1276,KOTA BINJAI,SUMATERA UTARA
12,1277,KOTA PADANGSIDIMPUAN,SUMATERA UTARA
12,1278,KOTA GUNUNGSITOLI,SUMATERA UTARA
13,1301,KABUPATEN KEPULAUAN MENTAWAI,SUMATERA BARAT
13,1302,KABUPATEN PESISIR SELATAN,SUMATERA BARAT
13,1303,KABUPATEN SOLOK,SUMATERA BARAT
13,1304,KABUPATEN SIJUNJUNG,SUMATERA BARAT
13,1305,KABUPATEN TANAH DATAR,SUMATERA BARAT
13,1306,KABUPATEN PADANG PARIAMAN,SUMATERA BARAT
13,1307,KABUPATEN AGAM,SUMATERA BARAT
13,1308,KABUPATEN LIMA PULUH KOTA,SUMATERA BARAT
13,1309,KABUPATEN PASAMAN,SUMATERA BARAT
13,1310,KABUPATEN SOLOK SELATAN,SUMATERA BARAT
13,1311,KABUPATEN DHARMASRAYA,SUMATERA BARAT
13,1312,KABUPATEN PASAMAN BARAT,SUMATERA BARAT
13,1371,KOTA PADANG,SUMATERA BARAT
13,1372,KOTA SOLOK,SUMATERA BARAT
